id,name,chain,type,seat,location,menu items,rate
14064,MARINATE,FALSE,Restaurant,6,0,9,3
14065,GON JI AM,FALSE,Restaurant,34,1,15,4.5
14066,PIZZA HUT #26143,TRUE,Pizza,41,1,20,4
14067,JERUSALEM RESTAURANT & HOOKAH LOUNGE,TRUE,Restaurant,29,1,15,4.5
14068,THAI BBQ,FALSE,Restaurant,41,1,20,5
14069,SIZZLER #226,FALSE,Restaurant,71,1,20,5
14070,THE GARDEN JUICE Pastry,TRUE,Pastry,140,1,20,3
14071,INTERNATIONAL HOUSE OF PANCAKE,FALSE,Restaurant,107,1,20,5
14072,BEVERLY SOON TOFU,FALSE,Restaurant,37,1,20,5
14073,BODYFACTORY,TRUE,Restaurant,28,1,15,4.5
14074,PANDA GARDEN,TRUE,Restaurant,5,0,9,3
14075,THE DETOUR,FALSE,Restaurant,6,0,9,3
14076,A AND T BURGERS,FALSE,Fast Food,11,0,9,2.5
14077,MARIELAS TACOS,FALSE,Fast Food,8,0,9,2.5
14078,UNCLE JOHN'S CAFE,TRUE,Restaurant,33,1,15,4.5
14079,GOSHEN CUSINE,FALSE,Restaurant,16,1,12,4
14080,SUBWAY #13478,TRUE,Fast Food,21,1,15,3.5
14081,ORANGE DOOR,FALSE,Restaurant,5,0,9,3
14082,MASAN,FALSE,Restaurant,85,1,20,5
14083,CAFE 5901,TRUE,Restaurant,3,0,9,3
14084,BUSBYS,FALSE,Restaurant,107,1,20,5
14085,PANADERIA GUERRERO,FALSE,Restaurant,10,0,9,3
14086,DIAMOND BAKERY,TRUE,Bakery,16,1,12,3
14087,TACOS MX,FALSE,Fast Food,10,0,9,2.5
14088,ROSITAS MEXICAN  RESTAURANT,TRUE,Restaurant,16,1,12,4
14089,EL REY THEATRE Pastry,FALSE,Pastry,5,0,9,3
14090,CARL'S JR #12,TRUE,Restaurant,119,1,20,5
14091,GOBI MONGOLIAN BBQ,FALSE,Restaurant,24,1,15,4.5
14092,JANG AN RESTAURANT,TRUE,Restaurant,1,0,9,3
14093,SUPERBA FOOD & BREAD,TRUE,Restaurant,102,1,20,5
14094,23RD ST CAFE,FALSE,Restaurant,32,1,15,4.5
14095,BIG WANGS,TRUE,Restaurant,216,1,20,5
14096,THAI DISHES,FALSE,Restaurant,103,1,20,5
14097,BLUE COW CAFE,FALSE,Restaurant,62,1,20,5
14098,THE VILLAGE BAKERY & CAFE,TRUE,Bakery,43,1,20,3
14099,LA AZTECA,FALSE,Restaurant,29,1,15,4.5
14100,MOHAWK BEND,FALSE,Restaurant,80,1,20,5
14101,GONG CHA,FALSE,Restaurant,19,1,12,4
14102,SK DONUTS,FALSE,Fast Food,26,1,15,3.5
14103,DONA ANA'S COSINA,FALSE,Restaurant,23,1,15,4.5
14104,PHO CAFE,FALSE,Restaurant,33,1,15,4.5
14105,SURAWON KOREAN RESTAURANT,TRUE,Restaurant,45,1,20,5
14106,CAFFE LATTE,FALSE,Restaurant,44,1,20,5
14107,STOUT,FALSE,Restaurant,42,1,20,5
14108,DELI-CIOUS,TRUE,Restaurant,36,1,20,5
14109,LA VILLA CAFE,TRUE,Restaurant,29,1,15,4.5
14110,ALOHA CATERING SERVICES INC,FALSE,Restaurant,46,1,20,5
14111,IMPROV- COMEDY CLUB,FALSE,Restaurant,169,1,20,5
14112,SCHWARTZ BAKERY,TRUE,Bakery,20,1,9,3
14113,TACO INN,FALSE,Fast Food,136,1,20,3.5
14114,EL POLLO LOCO # 3540,TRUE,Restaurant,47,1,20,5
14115,RINCON DE GUAYABITOS #3,FALSE,Restaurant,41,1,20,5
14116,WOKCANO CRESCENT,FALSE,Restaurant,40,1,20,5
14117,ABC COMMISSARY,FALSE,Restaurant,114,1,20,5
14118,MIKKELLER,FALSE,Restaurant,44,1,20,5
14119,EL POLLO LOCO # 5502,TRUE,Restaurant,48,1,20,5
14120,LUCIFER'S PIZZA,TRUE,Pizza,49,1,20,4
14121,NEUEHOUSE,FALSE,Restaurant,16,1,12,4
14122,PEPES G. TACOS,FALSE,Fast Food,9,0,9,2.5
14123,THE OAKS GOURMET,FALSE,Restaurant,39,1,20,5
14124,LOS MOLCAJETES,TRUE,Restaurant,143,1,20,5
14125,AMAR DESH INDIAN RESTAURANT,TRUE,Restaurant,14,0,9,3
14126,TINHORN FLATS SALOON & GRILL,FALSE,Restaurant,225,1,20,5
14127,BOON ARUNEE THAI HOUSE,FALSE,Restaurant,120,1,20,5
14128,EL MEXICANO MARKET/TORTILLER,FALSE,Restaurant,7,0,9,3
14129,TIERRA MIA COFFEE COMPANY,TRUE,Cafe,29,1,15,5
14130,JACKSON CAFE,FALSE,Restaurant,7,0,9,3
14131,SEOUL GARDEN RESTAURANT,TRUE,Restaurant,148,1,20,5
14132,MO MO SUSHI,TRUE,Restaurant,7,0,9,3
14133,ORLEANS AND YORK DELI,TRUE,Restaurant,27,1,15,4.5
14134,GOLDEN MONGOLIAN RESTAURANT,TRUE,Restaurant,35,1,9,3
14135,MARKET CAFE @ WESTWOOD GATEWAY,FALSE,Restaurant,118,1,20,5
14136,BIG BEAR FARM,FALSE,Restaurant,22,1,15,4.5
14137,TASTE OF UNIVERSAL,FALSE,Restaurant,3,0,9,3
14138,SULTAN RESTAURANT,TRUE,Restaurant,5,0,9,3
14139,PUPUSERIA EL SAVOY,FALSE,Restaurant,3,0,9,3
14140,VIA MAR SEAFOOD RESTAURANT,TRUE,Restaurant,5,0,9,3
14141,RENAISSANCE RESTAURANT,TRUE,Restaurant,32,1,15,4.5
14142,LA FUENTE RESTAURANT,TRUE,Restaurant,10,0,9,3
14143,BEELMAN'S PUB,TRUE,Restaurant,42,1,20,5
14144,FRED'S BURGERS,FALSE,Fast Food,22,1,15,3.5
14145,SHIBUMI,FALSE,Restaurant,13,0,9,3
14146,TAM'S BURGER #7,TRUE,Fast Food,9,0,9,2.5
14147,HAWAIIAN BBQ HOUSE,FALSE,Restaurant,28,1,15,4.5
14148,CUYUTLAN,FALSE,Restaurant,8,0,9,3
14149,HILL GRILL,FALSE,Restaurant,15,0,9,3
14150,LOS ANTOJITOS MEXICAN REST,FALSE,Restaurant,43,1,20,5
14151,PARK SIDE INT'L COLLEGE,FALSE,Restaurant,166,1,20,5
14152,CAFE ANGELINO,FALSE,Restaurant,39,1,20,5
14153,TSURUMARU UDON,FALSE,Restaurant,43,1,20,5
14154,CABANAS RESTAURANTE,TRUE,Restaurant,42,1,20,5
14155,LITTLE TOKYO SUSHI,FALSE,Restaurant,14,0,9,3
14156,DINETTE,FALSE,Restaurant,20,1,9,3
14157,OH MY POKI,FALSE,Restaurant,7,0,9,3
14158,CILANTRO,FALSE,Restaurant,11,0,9,3
14159,X LANES,FALSE,Restaurant,177,1,20,5
14160,L.A. POLICE ACADEMY,FALSE,Restaurant,178,1,20,5
14161,DOWNTOWN PEKING TAVERN,FALSE,Restaurant,114,1,20,5
14162,THE EDISON-RESTAURANT,TRUE,Restaurant,18,1,12,4
14163,GEORGE TOWN CUPCAKE,FALSE,Restaurant,4,0,9,3
14164,LUPITAS RESTAURANT #1,TRUE,Restaurant,22,1,15,4.5
14165,DIAMOND BUFFET AND GRILL,FALSE,Restaurant,172,1,20,5
14166,BEN & JERRY'S OF HOWARD HUGH,FALSE,Restaurant,19,1,12,4
14167,OSTRICH FARM RESTAURANT,TRUE,Restaurant,44,1,20,5
14168,VESPAIO,FALSE,Restaurant,69,1,20,5
14169,PATRA BURGERS,FALSE,Fast Food,3,0,9,2.5
14170,CHIPOTLE MEXICAN GRILL #2988,TRUE,Restaurant,6,0,9,3
14171,FIRENZA WOOD FIRED PIZZA,FALSE,Pizza,3,0,9,3
14172,APRI BANQUIET HALL & CATERIN,FALSE,Restaurant,100,1,20,5
14173,PEPPONE,FALSE,Restaurant,48,1,20,5
14174,TALAY THAI RESTAURANT,TRUE,Restaurant,31,1,15,4.5
14175,TAM'S BURGERS #8,TRUE,Fast Food,27,1,15,3.5
14176,CENTRAL KITCHEN AT THE LORENZO,FALSE,Restaurant,145,1,20,5
14177,IL SOGNO DELI,TRUE,Restaurant,2,0,9,3
14178,SUBWAY #5623,TRUE,Fast Food,3,0,9,2.5
14179,HONG KONG EXPRESS,TRUE,Fast Food,12,0,9,2.5
14180,ABRAM FRIEDMAN OCCUP CNETER,FALSE,Restaurant,203,1,20,5
14181,MAMA GALLINA,FALSE,Restaurant,26,1,15,4.5
14182,RESTAURANTE Y PUPUSERIA LA ANTORCHA,TRUE,Restaurant,28,1,15,4.5
14183,DON CHENTE Pastry -GRILL,FALSE,Restaurant,198,1,20,5
14184,SEREE COFFEE SHOP,FALSE,Cafe,8,0,9,3
14185,MCDONALD'S #5760,TRUE,Fast Food,91,1,20,3.5
14186,TARTINE BAKERY,TRUE,Bakery,67,1,20,3
14187,VERVE COFFEE,FALSE,Cafe,14,0,9,3
14188,KFC,TRUE,Fast Food,66,1,20,3.5
14189,EL BORREGO DE ORO #2,FALSE,Restaurant,48,1,20,5
14190,RIOT CAFE,FALSE,Restaurant,218,1,20,5
14191,HOBOKEN,FALSE,Restaurant,103,1,20,5
14192,ALFRED COFFEE & KITCHEN,FALSE,Cafe,12,0,9,3
14193,MOCHA JAVA EXPRESS,FALSE,Fast Food,9,0,9,2.5
14194,HOLIDAY INN EXPRESS LAX,FALSE,Fast Food,142,1,20,3.5
14195,LA PANADERIA MICHOACANA,FALSE,Restaurant,23,1,15,4.5
14196,ALEJO'S TAKE OUT,FALSE,Restaurant,2,0,9,3
14197,MERCADO,TRUE,Restaurant,161,1,20,5
14198,FERNANDO'S Pastry,FALSE,Pastry,3,0,9,3
14199,CLEMENTINE,FALSE,Restaurant,46,1,20,5
14200,NIETOS MARKET,FALSE,Restaurant,15,0,9,3
14201,COURTYARD CAFE,TRUE,Restaurant,34,1,15,4.5
14202,JUAN'S ROTISSERIE POLLO,FALSE,Restaurant,27,1,15,4.5
14203,TOCA MADERA,FALSE,Restaurant,149,1,20,5
14204,SAY CHEESE CAFE,FALSE,Restaurant,16,1,12,4
14205,CARL'S JR #102,TRUE,Restaurant,117,1,20,5
14206,BIONICOS EL JALISCIENSE,FALSE,Restaurant,1,0,9,3
14207,SUBWAY #62289,TRUE,Fast Food,27,1,15,3.5
14208,YOSHINOYA,TRUE,Restaurant,36,1,20,5
14209,TAM'S NUMBER 6,FALSE,Restaurant,20,1,9,3
14210,DOC POPCORN,FALSE,Restaurant,22,1,15,4.5
14211,HONEY DONUTS,FALSE,Fast Food,8,0,9,2.5
14212,PHILZ COFFEE,TRUE,Cafe,43,1,20,5
14213,ANTOJITOS Y GARNACHERIA DONA ROSITA,FALSE,Restaurant,28,1,15,4.5
14214,KFC TACO BELL E791008,TRUE,Fast Food,40,1,20,3.5
14215,TACO EL JALISCIENSE,FALSE,Fast Food,18,1,12,2.5
14216,HIERVE EL AGUA,FALSE,Restaurant,5,0,9,3
14217,COCO FRESH TEA AND JUICE,TRUE,Restaurant,25,1,15,4.5
14218,SERVED 2 ENJOY,FALSE,Restaurant,14,0,9,3
14219,WON KOK RESTAURANT,TRUE,Restaurant,129,1,20,5
14220,BLUE COLLAR PUB,FALSE,Restaurant,13,0,9,3
14221,SHIRE,FALSE,Restaurant,65,1,20,5
14222,SSI ADVANCED POST SERVICES,FALSE,Restaurant,43,1,20,5
14223,BOTANICA,FALSE,Restaurant,18,1,12,4
14224,WAKU WAKU,FALSE,Restaurant,42,1,20,5
14225,HUMMUS REPUBLIC,TRUE,Restaurant,9,0,9,3
14226,R-I CLUB LOUNGE,FALSE,Restaurant,105,1,20,5
14227,2 FOR 1 PIZZA COMPANY,FALSE,Pizza,19,1,12,3
14228,MADEMOISELLE M,FALSE,Restaurant,26,1,15,4.5
14229,SEPAN BANQUET HALL,FALSE,Restaurant,188,1,20,5
14230,SEPAN CHICKEN,FALSE,Restaurant,31,1,15,4.5
14231,TERE'S MEXICAN GRILL,FALSE,Restaurant,43,1,20,5
14232,POLLOS EL GUERO,FALSE,Restaurant,2,0,9,3
14233,REGENT THEATER,FALSE,Restaurant,181,1,20,5
14234,JIM DANDY FRIED CHICKEN,FALSE,Restaurant,16,1,12,4
14235,MONARCA PASTA AND GRILL,FALSE,Restaurant,25,1,15,4.5
14236,LA NEIGE BAKING ROOM CO,FALSE,Restaurant,25,1,15,4.5
14237,BY CHOLE,FALSE,Restaurant,19,1,12,4
14238,MAINLAND,FALSE,Restaurant,19,1,12,4
14239,RICKS DRIVE IN & OUT,FALSE,Restaurant,120,1,20,5
14240,HONG KONG EXPRESS #2,TRUE,Fast Food,2,0,9,2.5
14241,BOXCHOY,FALSE,Restaurant,28,1,15,4.5
14242,TABLE 901,FALSE,Cafe,17,1,12,3
14243,FROG,FALSE,Restaurant,10,0,9,3
14244,LA PUPUSERIA EL PEPTO,TRUE,Restaurant,39,1,20,5
14245,CABBAGE PATCH,TRUE,Restaurant,21,1,15,4.5
14246,POQUTIO MAS WEST LA,FALSE,Restaurant,49,1,20,5
14247,JW MARRIOTT LOS ANGELES,FALSE,Restaurant,155,1,20,5
14248,ALMAZA,FALSE,Restaurant,92,1,20,5
14249,FAMILY FARM MARKET,FALSE,Restaurant,17,1,12,4
14250,JACK IN THE BOX #3173,TRUE,Restaurant,80,1,20,5
14251,COFFEE FOR SASQUATCH,FALSE,Cafe,17,1,12,3
14252,DAILY GRILL,FALSE,Restaurant,167,1,20,5
14253,THE NICKEL DINER,FALSE,Restaurant,44,1,20,5
14254,EL SUPER,FALSE,Restaurant,21,1,15,4.5
14255,CULB LOUNGE,FALSE,Restaurant,204,1,20,5
14256,BONGCHU,FALSE,Restaurant,41,1,20,5
14257,MAMACITA PERUVIAN CANTINA,FALSE,Restaurant,126,1,20,5
14258,COLD ROLLED ICE CREAM CO,FALSE,Restaurant,25,1,15,4.5
14259,TAQUERIA LA FOGATA,FALSE,Restaurant,13,0,9,3
14260,ASTRO FAMILY RESTAURANT,TRUE,Restaurant,65,1,20,5
14261,UMAMI BURGER URBAN JUNGLE LLC,TRUE,Fast Food,69,1,20,3.5
14262,EL TACO MEXICANO,FALSE,Fast Food,4,0,9,2.5
14263,HOME RESTAURANT,TRUE,Restaurant,161,1,20,5
14264,SAM'S ON SUNSET,FALSE,Restaurant,27,1,15,4.5
14265,OHANA POKE CO.,TRUE,Restaurant,22,1,15,4.5
14266,RALPHS MARKET #156,FALSE,Restaurant,27,1,15,4.5
14267,ANTOJITOS HONDURENO,FALSE,Restaurant,12,0,9,3
14268,LENNYS DELI WESTWOOD,TRUE,Restaurant,213,1,20,5
14269,BUFFALO WILD WINGS,TRUE,Restaurant,144,1,20,5
14270,SUBWAY #3707,TRUE,Fast Food,7,0,9,2.5
14271,PACE JOINT RESTAURANT & MARKET,TRUE,Restaurant,13,0,9,3
14272,EL COMPADRE RESTAURANT,TRUE,Restaurant,35,1,9,3
14273,DTLA RAMEN,FALSE,Restaurant,46,1,20,5
14274,TAM'S #15,FALSE,Restaurant,11,0,9,3
14275,DIAMOND DONUTS AND CHINESE DELI,TRUE,Fast Food,20,1,9,2.5
14276,SUPER DONUT HOUSE,TRUE,Fast Food,1,0,9,2.5
14277,AFC SUSHI AT RALPH'S #22,FALSE,Restaurant,20,1,9,3
14278,GELATERIA ULI,FALSE,Restaurant,28,1,15,4.5
14279,SUSHI MON,FALSE,Restaurant,94,1,20,5
14280,DUNKIN DONUTS,TRUE,Fast Food,3,0,9,2.5
14281,SUPER GRILL,FALSE,Restaurant,6,0,9,3
14282,HONG KONG BOWL,TRUE,Restaurant,28,1,15,4.5
14283,EL FLORIDITA,FALSE,Restaurant,89,1,20,5
14284,CRISPY CRUST,FALSE,Restaurant,21,1,15,4.5
14285,BAOHAUS,FALSE,Restaurant,29,1,15,4.5
14286,LUPITA'S BAKERY,TRUE,Bakery,10,0,9,3
14287,GINGERGRASS SILVERLAKE LLC,FALSE,Restaurant,35,1,9,3
14288,HILLCREST COUNTRY CLUB,FALSE,Restaurant,16,1,12,4
14289,TAM O SHANTER INN,FALSE,Restaurant,151,1,20,5
14290,BURGER KING #11406,TRUE,Fast Food,67,1,20,3.5
14291,BIRDS ROTISSERIE CHICKEN CAFE,FALSE,Restaurant,74,1,20,5
14292,TASTY NOODLE HOUSE,FALSE,Restaurant,132,1,20,5
14293,PASEO CHAPIN,FALSE,Restaurant,126,1,20,5
14294,TRUFFLE BROTHERS,FALSE,Restaurant,12,0,9,3
14295,FAITH & FLOWER RESTAURANT,TRUE,Restaurant,190,1,20,5
14296,TRIMANA,TRUE,Restaurant,24,1,15,4.5
14297,POMEGRANATE,FALSE,Restaurant,22,1,15,4.5
14298,THE COUNTER,TRUE,Restaurant,115,1,20,5
14299,YOGURTLAND BALDWIN HILLS,TRUE,Restaurant,10,0,9,3
14300,FOOD,TRUE,Restaurant,21,1,15,4.5
14301,TIAGO COFFEE Pastry & KITCHEN,FALSE,Cafe,36,1,20,3
14302,MCDONALD'S #5149,TRUE,Restaurant,112,1,20,5
14303,KOHII COFFEE CO.,FALSE,Cafe,27,1,15,3
14304,NONNA'S EMPANADAS,TRUE,Restaurant,2,0,9,3
14305,SILVERLAKE COFFEE,FALSE,Cafe,37,1,20,3
14306,CASA NOSTRA RISTORANTE & Pastry,FALSE,Pastry,89,1,20,3
14307,VILLA SOMBRERO RESTAURANT IN,TRUE,Restaurant,68,1,20,5
14308,PIZZA HUT #28345,TRUE,Pizza,6,0,9,3
14309,ARNIE MORTON'S OF CHICAGO,FALSE,Restaurant,171,1,20,5
14310,W PIZZA,FALSE,Pizza,105,1,20,4
14311,BAMBOO EXPRESS,FALSE,Fast Food,28,1,15,3.5
14312,OCTOPUS,FALSE,Restaurant,82,1,20,5
14313,THE SANDWICH Pastry,TRUE,Pastry,13,0,9,3
14314,LITTLE SISTER @ DTLA,FALSE,Restaurant,48,1,20,5
14315,THE HALAL GUYS,FALSE,Restaurant,20,1,9,3
14316,MAS MALO,FALSE,Restaurant,224,1,20,5
14317,BRACK SHOP TAVERN,FALSE,Restaurant,43,1,20,5
14318,SEVEN Pastry AND RESTAURANT,TRUE,Pastry,109,1,20,3
14319,EL PASEO INN,FALSE,Restaurant,91,1,20,5
14320,ABC RESTAURANT,TRUE,Restaurant,159,1,20,5
14321,TRIMANA/LAUSD,TRUE,Restaurant,203,1,20,5
14322,JOURNEYMEN,FALSE,Restaurant,33,1,15,4.5
14323,CHIPOTLE MEXICAN GRILL #04-1500,TRUE,Restaurant,107,1,20,5
14324,BS TAQUERIA,FALSE,Restaurant,38,1,20,5
14325,SUGARFISH,TRUE,Restaurant,41,1,20,5
14326,ZEBULON,FALSE,Restaurant,211,1,20,5
14327,JUDI'S DELI,TRUE,Restaurant,49,1,20,5
14328,PLANET HOLLYWOOD,FALSE,Restaurant,77,1,20,5
14329,BIG FOOT LODGE,FALSE,Restaurant,46,1,20,5
14330,STARBUCKS #24164,TRUE,Cafe,39,1,20,5
14331,THE COUNTER,TRUE,Restaurant,198,1,20,5
14332,EL CHINO RESTAURANT & TAQUERIA,TRUE,Restaurant,38,1,20,5
14333,EL POLLO LOCO #3364,TRUE,Restaurant,37,1,20,5
14334,IN-N-OUT BURGER #102,FALSE,Fast Food,102,1,20,3.5
14335,LAZY DAISY CAFE,FALSE,Restaurant,35,1,9,3
14336,BUTTON MASH,FALSE,Restaurant,88,1,20,5
14337,EL MIGUELENO,FALSE,Restaurant,32,1,15,4.5
14338,CROWN PLAZA LAX YOKOSO,FALSE,Restaurant,29,1,15,4.5
14339,LARDER AT TAVERN,FALSE,Restaurant,43,1,20,5
14340,BOBA STORY,TRUE,Restaurant,12,0,9,3
14341,SUEDE Pastry AND LOUNGE,FALSE,Pastry,35,1,9,3
14342,PATINA,FALSE,Restaurant,201,1,20,5
14343,PastryDONNA CAFE,TRUE,Pastry,11,0,9,3
14344,TEE UP RESTAURANT & Pastry,TRUE,Pastry,74,1,20,3
14345,BREWWELL COFFEE,FALSE,Cafe,7,0,9,3
14346,GLADY'S DONUTS,FALSE,Fast Food,11,0,9,2.5
14347,PANDA EXPRESS,TRUE,Fast Food,47,1,20,3.5
14348,CHINA TOWN FAST FOOD,TRUE,Restaurant,45,1,20,5
14349,PATINA CATERING KITCHEN,FALSE,Restaurant,15,0,9,3
14350,CARDAMON,FALSE,Restaurant,31,1,15,4.5
14351,ANDIAMO/HILTON HOTEL,FALSE,Restaurant,202,1,20,5
14352,SOOPSOL KARAOKE & RESTAURANT,TRUE,Restaurant,33,1,15,4.5
14353,TRIMANA GRILL,TRUE,Restaurant,48,1,20,5
14354,FLEMING'S AT LA LIVE,FALSE,Restaurant,194,1,20,5
14355,FIESTA MICHOACANA,FALSE,Restaurant,8,0,9,3
14356,"SIZZLER USA RESTAURANTS, INC",TRUE,Restaurant,170,1,20,5
14357,FOUNDERS ALE HOUSE,FALSE,Restaurant,31,1,15,4.5
14358,88 SLT,FALSE,Restaurant,16,1,12,4
14359,CHAMPAGNE FRENCH BAKERY,TRUE,Bakery,11,0,9,3
14360,TOM BERGIN'S,FALSE,Restaurant,140,1,20,5
14361,CHAYA SUSHI,FALSE,Restaurant,21,1,15,4.5
14362,SOOM SOOM,TRUE,Restaurant,28,1,15,4.5
14363,SUBWAY #26899,TRUE,Fast Food,7,0,9,2.5
14364,ON THE THIRTY RESTAURANT,TRUE,Restaurant,4,0,9,3
14365,LA RICE CAKE,FALSE,Restaurant,11,0,9,3
14366,LA SALSA RESTAURANT,TRUE,Restaurant,34,1,15,4.5
14367,VIP CHINESE RESTAURANT,TRUE,Restaurant,6,0,9,3
14368,KUSINA FILIPINA,FALSE,Restaurant,40,1,20,5
14369,EL GALLO GRILL,FALSE,Restaurant,138,1,20,5
14370,RINCON GUAHACO RESTAURANT,TRUE,Restaurant,40,1,20,5
14371,KATSUYA,TRUE,Restaurant,175,1,20,5
14372,MON DELIZ COFFEE & BAKERY,TRUE,Cafe,42,1,20,5
14373,SALT'S CURE,FALSE,Restaurant,107,1,20,5
14374,FUNCOLO RESTAURANT,TRUE,Restaurant,9,0,9,3
14375,ROLL CAKE FACTORY,FALSE,Restaurant,6,0,9,3
14376,LAS CHAMPAS USA FOOD SERVICE,TRUE,Restaurant,45,1,20,5
14377,EBISU JAPANESE GRILL & SUSHI,FALSE,Restaurant,32,1,15,4.5
14378,AMERICAN GIRL,FALSE,Restaurant,184,1,20,5
14379,CROSSROADS WEST CAFE,FALSE,Restaurant,82,1,20,5
14380,LANDINGS/HILTON HOTEL,FALSE,Restaurant,83,1,20,5
14381,MEALS BY GENET INC,TRUE,Restaurant,32,1,15,4.5
14382,HORSES PUB/THE PIKEY,FALSE,Restaurant,149,1,20,5
14383,HANSOL LUNCHBOX,FALSE,Restaurant,9,0,9,3
14384,IL MORO RESTAURANT,TRUE,Restaurant,144,1,20,5
14385,OCCIDENTAL COLLEGE,FALSE,Restaurant,39,1,20,5
14386,LITTLE GALEN DINING HALL,FALSE,Restaurant,170,1,20,5
14387,WOO REE RESTAURANT,TRUE,Restaurant,14,0,9,3
14388,LE PETIT PARIS,FALSE,Restaurant,140,1,20,5
14389,CAFE M,FALSE,Restaurant,14,0,9,3
14390,LA PAPA LOCA,FALSE,Restaurant,14,0,9,3
14391,BLAZE PIZZA,FALSE,Pizza,20,1,9,3
14392,CROSSROADS,FALSE,Restaurant,90,1,20,5
14393,PARKS BBQ,FALSE,Restaurant,171,1,20,5
14394,IN-N-OUT BURGER #111,FALSE,Fast Food,46,1,20,3.5
14395,PUPUSERIA Y RESTAURANT MIPUB,TRUE,Restaurant,16,1,12,4
14396,Noon Cafe,TRUE,Cafe,43,1,20,5
14397,KAI JAPANESE ROOTS,FALSE,Restaurant,41,1,20,5
14398,BUL RO CHO HAN BANG BO YANG TANG,FALSE,Restaurant,35,1,9,3
14399,STARBUCKS COFFEE #5620,TRUE,Cafe,11,0,9,4
14400,RASCAL,FALSE,Restaurant,33,1,15,4.5
14401,SPRING TIME IN NY,FALSE,Restaurant,28,1,15,4.5
14402,CHIFA,FALSE,Restaurant,8,0,9,3
14403,NEW CHYN KING,FALSE,Restaurant,34,1,15,4.5
14404,TUTOR HALL CAFE,FALSE,Restaurant,143,1,20,5
14405,EL TEJANITO,TRUE,Restaurant,38,1,20,5
14406,EL SOMBRERO RESTAURANT,TRUE,Restaurant,46,1,20,5
14407,PINKBERRY,TRUE,Restaurant,17,1,12,4
14408,BLAZE PIZZA PREP KITCHEN,TRUE,Pizza,5,0,9,3
14409,YUMMY MONSTER,FALSE,Restaurant,26,1,15,4.5
14410,MCDONALD'S #7037,TRUE,Fast Food,142,1,20,3.5
14411,HOTEL SOFITEL L A RESTAURANT,TRUE,Restaurant,192,1,20,5
14412,BUDDHA BELLY RESTAURANT,TRUE,Restaurant,23,1,15,4.5
14413,POKE 2 GO RESTAURANT,TRUE,Restaurant,25,1,15,4.5
14414,RINCONCITO FAMILIAR,FALSE,Restaurant,24,1,15,4.5
14415,ARTURO'S TACOS,FALSE,Fast Food,5,0,9,2.5
14416,GIGO'S CAFE AND DELI,TRUE,Restaurant,14,0,9,3
14417,TACOS ESTILO D.F.,FALSE,Fast Food,39,1,20,3.5
14418,CAFE MIDI,FALSE,Restaurant,32,1,15,4.5
14419,TOM'S JUNIOR,FALSE,Restaurant,131,1,20,5
14420,EL MOLCAJETE,FALSE,Restaurant,35,1,9,3
14421,OISHI TERIYAKI,FALSE,Restaurant,3,0,9,3
14422,ATCH-KODTCH,FALSE,Restaurant,39,1,20,5
14423,FACEBOOK PLAYA VISTA,FALSE,Restaurant,42,1,20,5
14424,COTTE DESSERT AND TEA,FALSE,Restaurant,43,1,20,5
14425,SL DONUTS,FALSE,Fast Food,21,1,15,3.5
14426,MARISCOS 4 VIENTOS,FALSE,Restaurant,31,1,15,4.5
14427,LITTLE CAESARS #5826,TRUE,Restaurant,18,1,12,4
14428,ZEN MEI BISTRO,FALSE,Restaurant,44,1,20,5
14429,NOTHING BUT COFFEE,FALSE,Cafe,7,0,9,3
14430,AFC AT RALPHS#100,FALSE,Restaurant,8,0,9,3
14431,ONGGANAE LA,FALSE,Restaurant,96,1,20,5
14432,ARTUR'S GARDEN,FALSE,Restaurant,13,0,9,3
14433,OKIPOKI,FALSE,Restaurant,23,1,15,4.5
14434,NOAH'S NEW YORK BAGELS #2192,TRUE,Restaurant,2,0,9,3
14435,KFC,TRUE,Fast Food,19,1,12,2.5
14436,KC'S CAFE,FALSE,Restaurant,3,0,9,3
14437,PIG PEN RESTAURANT,TRUE,Restaurant,25,1,15,4.5
14438,GUISADOS,TRUE,Restaurant,49,1,20,5
14439,RALPHS MARKET # 100,FALSE,Restaurant,22,1,15,4.5
14440,LOUISIANA FISH MARKET,FALSE,Restaurant,11,0,9,3
14441,KOREAN GARDENS RESTAURANT,TRUE,Restaurant,96,1,20,5
14442,BLU JAM CAFE,TRUE,Restaurant,38,1,20,5
14443,MI NUEVO MOLCAJETE RESTAURANT,TRUE,Restaurant,32,1,15,4.5
14444,BCD TOFU HOUSE,FALSE,Restaurant,77,1,20,5
14445,DRAGON FLOWER,FALSE,Restaurant,10,0,9,3
14446,OVERLAND CAFE,FALSE,Restaurant,115,1,20,5
14447,JAMBA JUICE #38,TRUE,Restaurant,25,1,15,4.5
14448,WABA GRILL,TRUE,Restaurant,38,1,20,5
14449,BONJUK,FALSE,Restaurant,31,1,15,4.5
14450,JOHNNY ROCKETS #406,TRUE,Restaurant,46,1,20,5
14451,THE FAMILY BAKERY RESTAURANT,TRUE,Bakery,25,1,15,3
14452,A B C EXPRESS,FALSE,Fast Food,39,1,20,3.5
14453,OMBU GRILL,FALSE,Restaurant,122,1,20,5
14454,TENDER GREENS,TRUE,Restaurant,116,1,20,5
14455,BEIJIN BOWL EXPRESS,FALSE,Fast Food,36,1,20,3.5
14456,ANGELES,FALSE,Restaurant,42,1,20,5
